Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2024-09-20,MFP iOS calorie adjustment,Cardio,1.0,1,,,,1320,
2024-09-21,MFP iOS calorie adjustment,Cardio,44.0,1,,,,6364,
2024-09-22,MFP iOS calorie adjustment,Cardio,0.0,1,,,,752,
2024-09-23,MFP iOS calorie adjustment,Cardio,1.0,1,,,,1191,
2024-09-24,MFP iOS calorie adjustment,Cardio,1.0,1,,,,2057,
2024-09-25,MFP iOS calorie adjustment,Cardio,1.0,1,,,,1022,
2024-09-26,MFP iOS calorie adjustment,Cardio,0.0,1,,,,2776,
2024-09-27,MFP iOS calorie adjustment,Cardio,6.0,1,,,,1826,
2024-09-28,MFP iOS calorie adjustment,Cardio,119.0,1,,,,13787,
2024-09-29,MFP iOS calorie adjustment,Cardio,75.0,1,,,,8739,
2024-09-30,MFP iOS calorie adjustment,Cardio,57.0,1,,,,6985,
2024-10-01,MFP iOS calorie adjustment,Cardio,7.0,1,,,,3173,
2024-10-02,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1438,
2024-10-03,MFP iOS calorie adjustment,Cardio,198.0,1,,,,14024,
2024-10-04,MFP iOS calorie adjustment,Cardio,0.0,1,,,,3040,
2024-10-05,MFP iOS calorie adjustment,Cardio,42.0,1,,,,6617,
2024-10-06,MFP iOS calorie adjustment,Cardio,81.0,1,,,,8202,
2024-10-07,MFP iOS calorie adjustment,Cardio,1.0,1,,,,880,
2024-10-08,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1023,
2024-10-09,MFP iOS calorie adjustment,Cardio,4.0,1,,,,1116,
2024-10-10,MFP iOS calorie adjustment,Cardio,54.0,1,,,,3779,
2024-10-11,MFP iOS calorie adjustment,Cardio,18.0,1,,,,3413,
2024-10-12,MFP iOS calorie adjustment,Cardio,0.0,1,,,,590,
2024-10-13,MFP iOS calorie adjustment,Cardio,19.0,1,,,,2714,
2024-10-14,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1314,
2024-10-15,MFP iOS calorie adjustment,Cardio,38.0,1,,,,3527,
2024-10-16,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1023,
2024-10-17,MFP iOS calorie adjustment,Cardio,0.0,1,,,,869,
2024-10-18,MFP iOS calorie adjustment,Cardio,34.0,1,,,,7368,
2024-10-19,MFP iOS calorie adjustment,Cardio,53.0,1,,,,9258,
2024-10-20,MFP iOS calorie adjustment,Cardio,8.0,1,,,,2789,
2024-10-21,MFP iOS calorie adjustment,Cardio,4.0,1,,,,3704,
2024-10-22,MFP iOS calorie adjustment,Cardio,110.0,1,,,,10275,
2024-10-23,MFP iOS calorie adjustment,Cardio,131.0,1,,,,10490,
2024-10-24,MFP iOS calorie adjustment,Cardio,104.0,1,,,,7505,
2024-10-25,MFP iOS calorie adjustment,Cardio,47.0,1,,,,7350,
2024-10-26,MFP iOS calorie adjustment,Cardio,118.0,1,,,,9075,
2024-10-27,MFP iOS calorie adjustment,Cardio,125.0,1,,,,11493,
2024-10-28,MFP iOS calorie adjustment,Cardio,108.0,1,,,,7612,
2024-10-29,MFP iOS calorie adjustment,Cardio,0.0,1,,,,980,
2024-10-30,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1557,
2024-10-31,MFP iOS calorie adjustment,Cardio,29.0,1,,,,5253,
2024-11-01,MFP iOS calorie adjustment,Cardio,61.0,1,,,,5277,
2024-11-02,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1395,
2024-11-03,MFP iOS calorie adjustment,Cardio,0.0,1,,,,774,
2024-11-04,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1014,
2024-11-05,MFP iOS calorie adjustment,Cardio,0.0,1,,,,760,
2024-11-06,MFP iOS calorie adjustment,Cardio,0.0,1,,,,835,
2024-11-07,MFP iOS calorie adjustment,Cardio,149.0,1,,,,10794,
2024-11-08,MFP iOS calorie adjustment,Cardio,45.0,1,,,,4833,
2024-11-09,MFP iOS calorie adjustment,Cardio,0.0,1,,,,342,
2024-11-10,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1880,
2024-11-11,MFP iOS calorie adjustment,Cardio,0.0,1,,,,715,
2024-11-12,MFP iOS calorie adjustment,Cardio,0.0,1,,,,527,
2024-11-13,MFP iOS calorie adjustment,Cardio,1.0,1,,,,474,
2024-11-14,MFP iOS calorie adjustment,Cardio,263.0,1,,,,17359,
2024-11-15,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1176,
2024-11-16,MFP iOS calorie adjustment,Cardio,179.0,1,,,,11656,
2024-11-17,MFP iOS calorie adjustment,Cardio,2.0,1,,,,1564,
